name,lat,lon,elev_m
NVAN,49.322253579,-123.10691009,-2.7921358
NVCR,49.304169631,-123.008733486,-5.0801804
NWBG,45.300051836,-122.975530795,42.5859916
NWE3,49.200245902,-122.941676764,1.7377855
OAKR,43.738338541,-122.444565899,375.9019785
OBEC,44.065964964,-123.098149263,111.8619917
OBSR,46.899797846,-121.815365584,2363.138577
OCEN,46.952371203,-124.159714368,-17.3667229
ODOT,44.896661219,-123.000807517,51.2200753
OLAR,46.96119522,-122.908465585,41.0764862
OLMP,47.044846922,-122.895218709,2.6209248
ONAB,44.514522183,-124.074516331,17.5281942
ORBD,44.094975863,-121.301614763,1063.9279079
ORBN,44.094337989,-121.301886478,1060.3233334
ORCB,43.389745827,-124.251039195,27.8811473
ORCP,42.380541308,-122.883206649,380.961662
ORDN,45.234004229,-122.815905657,43.3525788
ORDO,45.234129426,-122.81594663,45.6388121
ORE4,44.063388398,-123.179263971,105.1942956
OREU,44.045046873,-123.161907475,105.7874396
ORFL,43.986414845,-124.111314977,-3.5928012
ORG1,45.497847935,-122.416048995,95.326857
ORGR,45.497642912,-122.415918347,97.6549049
ORHA,44.289836046,-123.154435209,77.4030823
ORHB,45.51911049,-123.025298189,43.0944043
ORHI,45.519086878,-123.025309543,42.955021
ORHR,45.711798661,-121.538181966,66.8046256
ORK5,42.288814581,-121.669332839,1258.4599345
ORK6,42.288810908,-121.669655009,1258.429987
ORKF,42.143381699,-121.808647824,1234.5805733
ORM1,44.601564611,-121.140984096,715.9017213
ORME,42.028529984,-121.613425218,1224.826939
ORMF,42.379887057,-122.884476124,379.7348141
ORMO,45.154492251,-122.602037763,80.79546
ORMV,45.187896355,-123.2090882,30.5402793
ORNW,44.674847491,-124.061151703,18.6834139
OROR,43.746379523,-122.485270477,327.3094629
ORPO,45.506986471,-122.672772044,25.9457695
ORPT,45.57882919,-122.649979662,-2.9692791
ORRB,43.298383711,-123.34922115,140.0489133
ORRD,44.269804033,-121.17992824,903.2590875
ORSB,44.625272365,-124.048839369,-10.9651119
ORSH,44.397658259,-122.727591027,150.1749536
ORSL,44.972985943,-122.955329295,46.1247325
ORSM,44.972912363,-122.955391065,46.5244133
ORTA,44.558349667,-123.111084238,60.6577454
ORTI,45.485585297,-123.846202289,-9.6040972
ORTN,44.560367465,-123.116575109,57.6869162
ORUG,44.1184964,-123.176274148,97.5087743
ORVB,39.554627243,-121.500290845,339.9995198
OTIS,48.417840463,-122.336571519,6.3689155
OYLR,47.47461072,-122.204755987,23.9613612
P058,40.876305662,-124.07536958,21.401843
P060,40.99763233,-122.414884054,430.8108989
P061,42.967377998,-124.014014869,162.755454
P062,43.112387101,-121.090713663,1350.265463
P064,47.96984629,-123.487705126,1570.7160085
P154,41.807082586,-123.360050167,319.8855551
P155,41.272434819,-123.188786101,1784.0810278
P156,40.024442034,-123.906116232,488.9937041
P157,40.247545906,-124.308072818,695.8140098
P158,40.422489785,-124.107207512,873.6958565
P159,40.504786341,-124.282781929,608.2155777
P160,40.551251587,-124.133270958,94.2221799
P161,40.637362687,-124.213085708,32.4299431
P162,40.691094163,-124.237036527,-6.4408164
P163,40.219570985,-124.057289127,425.243122
P164,40.119256013,-123.693339266,1148.3163987
P165,40.24554847,-123.853264214,545.6438795
P166,40.43518302,-123.862827951,665.2678286
P167,40.54370411,-123.880177032,1021.1437426
P168,40.668637315,-123.881459799,1093.4480273
P169,40.791144494,-123.967652439,689.3881885
P170,40.880232477,-123.863280815,918.1200552
P179,42.098971786,-123.685571147,402.1844683
P191,42.275355724,-123.63226302,371.378717
P312,39.529178185,-123.698374307,254.9419307
P313,39.554288052,-123.564544548,651.7661173
P314,39.685663403,-123.581846985,1251.9589091
P315,39.863582632,-123.716895883,257.9255732
P316,41.559132969,-124.086143923,234.972271
P317,39.905669995,-123.551849843,1118.6525076
P319,39.70709679,-123.295078185,513.0229206
P321,39.897220023,-123.394947006,1133.6588522
P322,39.962143809,-123.182481131,1433.8416835
P323,39.845747696,-122.963441997,2085.5824482
P324,40.256837615,-123.655736875,509.3622523
P325,41.151669979,-123.882606587,914.4937231
P326,40.57531386,-123.698930088,1261.6675451
P327,40.478860344,-123.57306415,710.0132311
P329,40.082214292,-123.452045767,1034.6240306
